value,fixed,other
Europe:Austria:Tyrol:Steinach am Brenner,Europe:Austria:Tyrol:Steinach am Brenner,
Asia:India:Mumbai:,Asia:India:Mumbai:-,
Asia:India:Uttar Pradesh:,Asia:India:Uttar Pradesh:-,
Europe:Austria:Tyrol:Zams,Europe:Austria:Tyrol:Zams,
Asia:India:Andhra Pradesh:,Asia:India:Andhra Pradesh:-,
Asia:India:Jammu:,Asia:India:Jammu:-,
Asia:India:Haryana:,Asia:India:Haryana:-,
Asia:India:Odisha:,Asia:India:Odisha:-,
Asia:India:Kargil:,Asia:India:Kargil:-,
Asia:India:Rajsathan:,Asia:India:Rajsathan:-,
Asia:India:Assam:,Asia:India:Assam:-,
Europe:Austria:Tyrol:Seefeld in Tirol,Europe:Austria:Tyrol:Seefeld in Tirol,
Asia:India:Madhya Pradesh:,Asia:India:Madhya Pradesh:-,
Asia:India:Karnataka:,Asia:India:Karnataka:-,
Asia:India:Madhya Pradesh:Mandsaur,Asia:India:Madhya Pradesh:Mandsaur,
Asia:India:Madhya Pradesh:Neemach,Asia:India:Madhya Pradesh:Neemach,
Asia:India:Madhya Pradesh:Burhanpur,Asia:India:Madhya Pradesh:Burhanpur,
Asia:India:Madhya Pradesh:Ujjain,Asia:India:Madhya Pradesh:Ujjain,
Europe:Austria:Salzburg:Bad Gastein,Europe:Austria:Salzburg:Bad Gastein,
Europe:Austria:Tyrol:Kematen in Tirol,Europe:Austria:Tyrol:Kematen in Tirol,
Asia:India:West Bengal:Kolkata,Asia:India:West Bengal:Kolkata,
Asia:India:West Bengal:East Medinipur,Asia:India:West Bengal:East Medinipur,
Asia:India:West Bengal:South 24 Parganas,Asia:India:West Bengal:South 24 Parganas,
Asia:India:West Bengal:Darjeeling,Asia:India:West Bengal:Darjeeling,
Asia:India:West Bengal:Tehatta,Asia:India:West Bengal:Tehatta,
Asia:India:West Bengal:Howrah,Asia:India:West Bengal:Howrah,
Europe:Austria:Tyrol:Laengenfeld,Europe:Austria:Tyrol:Laengenfeld,
Europe:Austria:Tyrol:St. Anton,Europe:Austria:Tyrol:St. Anton,
Asia:Indonesia:Surabaya:,Asia:Indonesia:Surabaya:-,
Asia:Indonesia:Jakarta:,Asia:Indonesia:Jakarta:-,
Asia:Iran:Iran:,Asia:Iran:-:-,
Asia:Iran:Semnan:,Asia:Iran:Semnan:-,
Asia:Iran:Tehran:,Asia:Iran:Tehran:-,
South America:Argentina:Buenos Aires:Bahia Blanca,South America:Argentina:Buenos Aires:Bahia Blanca,
Europe:Ireland:Ireland:,Europe:Ireland:Ireland:-,
Europe:Ireland:Tipperary:,Europe:Ireland:Tipperary:-,
Europe:Ireland:Dublin:,Europe:Ireland:Dublin:-,
Europe:Ireland:Louth:,Europe:Ireland:Louth:-,
Europe:Ireland:Wicklow:,Europe:Ireland:Wicklow:-,
Europe:Austria:Tyrol:Sistrans,Europe:Austria:Tyrol:Sistrans,
Europe:Ireland:Cork:,Europe:Ireland:Cork:-,
Europe:Ireland:Limerick:,Europe:Ireland:Limerick:-,
Asia:Israel:Tel Aviv District:,Asia:Israel:Tel Aviv District:-,
Asia:Israel:North District:,Asia:Israel:North District:-,
Asia:Israel:Jerusalem District:,Asia:Israel:Jerusalem District:-,
Asia:Israel:South Coast District:,Asia:Israel:South Coast District:-,
Asia:Israel:South District:,Asia:Israel:South District:-,
Asia:Israel:Israel:,Asia:Israel:-:,
Asia:Israel:Ramat Gan:,Asia:Israel:Ramat Gan:-,
Europe:Italy:Abruzzo:,Europe:Italy:Abruzzo:-,
Europe:Italy:Lombardy:,Europe:Italy:Lombardy:-,
Europe:Italy:Friuli Venezia Giulia:,Europe:Italy:Friuli Venezia Giulia:-,
Europe:Italy:Lazio:,Europe:Italy:Lazio:-,
Europe:Italy:Lazio:Rome,Europe:Italy:Lazio:Rome,
Europe:Italy:Apulia:,Europe:Italy:Apulia:-,
Europe:Italy:Italy:,Europe:Italy:-:-,
Europe:Italy:Abruzzo:Teramo,Europe:Italy:Abruzzo:Teramo,
Europe:Italy:Castel di Sangro:,Europe:Italy:Castel di Sangro:-,
Europe:Italy:Abruzzo:L'Aquila,Europe:Italy:Abruzzo:L'Aquila,
Europe:Austria:Italian cruise ship:,Europe:Austria:Italian cruise ship:-,
Europe:Italy:Lombardy:Milan,Europe:Italy:Lombardy:Milan,
Europe:Italy:Marche:,Europe:Italy:Marche:-,
Europe:Italy:Veneto:Verona IT,Europe:Italy:Veneto:Verona,
North America:Jamaica:Jamaica:,North America:Jamaica:-:-,
Asia:Japan:Aichi:Aichi,Asia:Japan:Aichi:-,
Asia:Japan:Japan:,Asia:Japan:-:-,
Asia:Japan:Kanto:,Asia:Japan:Kanto:-,
Asia:Japan:Kanagawa:,Asia:Japan:Kanagawa:-,
Asia:Japan:Kyoto:Kyoto,Asia:Japan:Kyoto:-,
Asia:Japan:Nara:,Asia:Japan:Nara:-,
Asia:Japan:Osaka:,Asia:Japan:Osaka:-,
Asia:Japan:Kochi:,Asia:Japan:Kochi:-,
Asia:Japan:Chiba:,Asia:Japan:Chiba:-,
Asia:Japan:Ishikawa:,Asia:Japan:Ishikawa:-,
Asia:Japan:Saitama:,Asia:Japan:Saitama:-,
Asia:Japan:Tokyo:,Asia:Japan:Tokyo:-,
Asia:Japan:Tokyo:Tokyo,Asia:Japan:Tokyo:-,
Asia:China:Jiangsu:Huaian,Asia:China:Jiangsu:Huaian,
Asia:China:Jiangsu:,Asia:China:Jiangsu:-,
Asia:China:Jiangxi:Pingxiang,Asia:China:Jiangxi:Pingxiang,
Asia:China:Jiangxi:Jian,Asia:China:Jiangxi:Jian,
Asia:China:Hubei:Jingzhou,Asia:China:Hubei:Jingzhou,
Asia:China:Jiangxi:Jiujiang,Asia:China:Jiangxi:Jiujiang,
Asia:Jordan:Amman:,Asia:Jordan:Amman:-,
Asia:Jordan:Irbid:,Asia:Jordan:Irbid:-,
Asia:Kazakhstan:Nur-Sultan:,Asia:Kazakhstan:Nur-Sultan:-,
Europe:Austria:Tyrol:,Europe:Austria:Tyrol:-,
Asia:South Korea:South Korea:,Asia:South Korea:-:-,
Asia:Kuwait:Kuwait:Dasman,Asia:Kuwait:Kuwait:Dasman,
Asia:Kuwait:Kuwait:Hawali,Asia:Kuwait:Kuwait:Hawali,
Europe:Latvia:Latvia:,Europe:Latvia:-:-,
Europe:Latvia:Riga:,Europe:Latvia:Riga:-,
Asia:Lebanon:Beirut:,Asia:Lebanon:Beirut:-,
Europe:Austria:Styria:,Europe:Austria:Styria:-,
Asia:China:Zhejiang:Lishui,Asia:China:Zhejiang:Lishui,
Europe:Lithuania:Vilnius:,Europe:Lithuania:Vilnius:-,
Europe:Lithuania:Lithuania:,Europe:Lithuania:Lithuania:-,
Europe:Luxembourg:Luxembourg:Luxembourg,Europe:Luxembourg:-:-,
Europe:Luxembourg:Luxembourg:,Europe:Luxembourg:-:-,
Asia:Malaysia:Kuala Lumpur:,Asia:Malaysia:Kuala Lumpur:-,
Asia:Malaysia:Malaysia:,Asia:Malaysia:-:-,
Asia:Malaysia:Selangor:,Asia:Malaysia:Selangor:-,
Asia:China:Meizhou:,Asia:China:Meizhou:-,
North America:Mexico:Mexico City:,North America:Mexico:Mexico City:-,
North America:Mexico:Mexico:,North America:Mexico:Mexico:-,
North America:Mexico:Chiapas:,North America:Mexico:Chiapas:-,
North America:Mexico:Chihuahua:,North America:Mexico:Chihuahua:-,
North America:Mexico:Estado de Mexico:,North America:Mexico:Estado de Mexico:-,
North America:Mexico:Puebla:,North America:Mexico:Puebla:-,
North America:Mexico:Queretaro:,North America:Mexico:Queretaro:-,
Europe:Spain:Andalusia:Cadiz,Europe:Spain:Andalusia:Cadiz,
Asia:Myanmar:Myanmar:,Asia:Myanmar:Myanmar:-,
Asia:China:Jiangxi:,Asia:China:Jiangxi:-,
Asia:China:Jiangxi:Nanchang,Asia:China:Jiangxi:Nanchang,
Asia:Nepal:Kathmandu:Kathmandu,Asia:Nepal:Kathmandu:-,
Europe:Netherlands:North Brabant:Andel,Europe:Netherlands:North Brabant:Andel,
Europe:Netherlands:North Brabant:Berlicum,Europe:Netherlands:North Brabant:Berlicum,
Europe:Netherlands:North Brabant:Blaricum,Europe:Netherlands:North Brabant:Blaricum,
Europe:Netherlands:Drenthe:Coevorden,Europe:Netherlands:Drenthe:Coevorden,
Europe:Netherlands:Drenthe:Dalen,Europe:Netherlands:Drenthe:Dalen,
Europe:Netherlands:South Holland:Delft,Europe:Netherlands:South Holland:Delft,
Europe:Netherlands:North Holland:Diemen,Europe:Netherlands:North Holland:Diemen,
Europe:Netherlands:Drenthe:,Europe:Netherlands:Drenthe:-,
Europe:Netherlands:North Brabant:Eindhoven,Europe:Netherlands:North Brabant:Eindhoven,
Europe:Netherlands:Flevoland:,Europe:Netherlands:Flevoland:-,
Europe:Netherlands:Friesland:,Europe:Netherlands:Friesland:-,
Europe:Netherlands:Gelderland:,Europe:Netherlands:Gelderland:-,
Europe:Netherlands:North Holland:Haarlem,Europe:Netherlands:North Holland:Haarlem,
Europe:Netherlands:South Holland:Hardinxveld Giessendam,Europe:Netherlands:South Holland:Hardinxveld Giessendam,
Europe:Netherlands:North Brabant:Helmond,Europe:Netherlands:North Brabant:Helmond,
Europe:Netherlands:Utrecht:Houten,Europe:Netherlands:Utrecht:Houten,
Europe:Netherlands:Leiden:,Europe:Netherlands:Leiden:-,
Europe:Netherlands:Limburg:,Europe:Netherlands:Limburg:-,
Europe:Netherlands:North Brabant:Loon op zand,Europe:Netherlands:North Brabant:Loon op zand,
Europe:Netherlands:Netherlands:,Europe:Netherlands:-:-,
Europe:Netherlands:North Holland:Naarden,Europe:Netherlands:North Holland:Naarden,
Europe:Netherlands:North Brabant:Nieuwendijk,Europe:Netherlands:North Brabant:Nieuwendijk,
Europe:Netherlands:North Brabant:,Europe:Netherlands:North Brabant:-,
Europe:Netherlands:North Holland:,Europe:Netherlands:North Holland:-,
Europe:Netherlands:South Holland:,Europe:Netherlands:South Holland:-,
Europe:Netherlands:South Holland:Nootdorp,Europe:Netherlands:South Holland:Nootdorp,
Europe:Netherlands:North Brabant:Oisterwijk,Europe:Netherlands:North Brabant:Oisterwijk,
Europe:Netherlands:North Brabant:Oss,Europe:Netherlands:North Brabant:Oss,
Europe:Netherlands:Overijssel:,Europe:Netherlands:Overijssel:-,
Europe:Netherlands:South Holland:Rotterdam,Europe:Netherlands:South Holland:Rotterdam,
Europe:Netherlands:North Brabant:Tilburg,Europe:Netherlands:North Brabant:Tilburg,
Europe:Netherlands:Utrecht:,Europe:Netherlands:Utrecht:-,
Europe:Netherlands:Utrecht:Utrecht,Europe:Netherlands:Utrecht:Utrecht,
Europe:Austria:Burgenland:,Europe:Austria:Burgenland:-,
Europe:Netherlands:Flevoland:Zeewolde,Europe:Netherlands:Flevoland:Zeewolde,
Oceania:New Zealand:Auckland:Auckland,Oceania:New Zealand:Auckland:Auckland,
Oceania:New Zealand:Auckland:,Oceania:New Zealand:Auckland:-,
Oceania:New Zealand:Wellington:,Oceania:New Zealand:Wellington:-,
Oceania:New Zealand:Otago:,Oceania:New Zealand:Otago:-,
Africa:Nigeria:Lagos:,Africa:Nigeria:Lagos:-,
Europe:United Kingdom:Northern Ireland:,Europe:United Kingdom:Northern Ireland:-,
Asia:Bangladesh:Bangladesh:,Asia:Bangladesh:-:-,
Asia:Bangladesh:Chattogram:,Asia:Bangladesh:Chattogram:-,
Europe:Norway:Oslo:,Europe:Norway:Oslo:-,
Europe:Norway:Norway:,Europe:Norway:Norway:-,
Europe:Norway:Trondheim:,Europe:Norway:Trondheim:-,
Asia:Pakistan:Gilgit Baltistan:Gilgit,Asia:Pakistan:Gilgit Baltistan:Gilgit,
Asia:Pakistan:Karachi:,Asia:Pakistan:Karachi:-,
Asia:Pakistan:Khyber Pakhtunkhwa:,Asia:Pakistan:Khyber Pakhtunkhwa:-,
North America:Panama:Panama City:,North America:Panama:Panama City:-,
South America:Peru:Lima:,South America:Peru:Lima:-,
Asia:Philippines:Manila:,Asia:Philippines:Manila:-,
Asia:Philippines:Philippines:,Asia:Philippines:-:-,
Asia:Bangladesh:Dhaka:,Asia:Bangladesh:Dhaka:-,
Europe:Poland:Pomorskie:,Europe:Poland:Pomorskie:-,
Europe:Poland:Wielkopolskie:,Europe:Poland:Wielkopolskie:-,
Europe:Poland:Malopolskie:KrakÃ³w,Europe:Poland:Malopolskie:Krakow,
Europe:Poland:Zielonogorskie:,Europe:Poland:Zielonogorskie:-,
Europe:Poland:Malopolskie:,Europe:Poland:Malopolskie:-,
Europe:Poland:Slask:,Europe:Poland:Slask:-,
Europe:Poland:Dolnoslaskie:,Europe:Poland:Dolnoslaskie:-,
Europe:Portugal:Portugal:,Europe:Portugal:-:-,
Europe:Portugal:Lisbon:,Europe:Portugal:Lisbon:-,
Asia:China:Beijing:Beijing,Asia:China:Beijing:-,
Asia:China:Beijing:,Asia:China:Beijing:-,
North America:USA:Puerto Rico:,North America:USA:Puerto Rico:-,
Asia:Qatar:Doha:,Asia:Qatar:Doha:-,
Europe:Romania:Bucharest:,Europe:Romania:Bucharest:-,
Europe:Romania:Constanta:,Europe:Romania:Constanta:-,
Europe:Russia:Republic of Buryatia:,Europe:Russia:Republic of Buryatia:-,
Europe:Russia:Chechen Republic:,Europe:Russia:Chechen Republic:-,
Europe:Russia:Chelyabinsk Region:,Europe:Russia:Chelyabinsk Region:-,
Europe:Russia:Republic of Crymea:,Europe:Russia:Republic of Crymea:-,
Europe:Russia:Republic of Kabardino-Balkaria:,Europe:Russia:Republic of Kabardino-Balkaria:-,
Europe:Russia:Khabarovsk Region:,Europe:Russia:Khabarovsk Region:-,
Europe:Russia:Leningrad Region:Kipen,Europe:Russia:Leningrad Region:Kipen,
Europe:Russia:Krasnodar Region:,Europe:Russia:Krasnodar Region:-,
Europe:Russia:Krasnoyarsk Region:,Europe:Russia:Krasnoyarsk Region:-,
Europe:Russia:Lipetsk Region:,Europe:Russia:Lipetsk Region:-,
Europe:Russia:Moscow:,Europe:Russia:Moscow:-,
Europe:Russia:Moscow Region:,Europe:Russia:Moscow Region:-,
Europe:Russia:Novosibirsk Region:,Europe:Russia:Novosibirsk Region:-,
Europe:Russia:Omsk Region:,Europe:Russia:Omsk Region:-,
Europe:Russia:Orenburg Region:,Europe:Russia:Orenburg Region:-,
Europe:Russia:Perm Region:,Europe:Russia:Perm Region:-,
Europe:Russia:Primorskiy Region:,Europe:Russia:Primorskiy Region:-,
Europe:Russia:Pskov Region:,Europe:Russia:Pskov Region:-,
Europe:Russia:Republic of Sakha:,Europe:Russia:Republic of Sakha:-,
Europe:Russia:Sakhalin Region:,Europe:Russia:Sakhalin Region:-,
Europe:Russia:Samara Region:,Europe:Russia:Samara Region:-,
Europe:Russia:Saint-Petersburg:,Europe:Russia:Saint-Petersburg:-,
Europe:Belarus:Belarus:,Europe:Belarus:Belarus:-,
Europe:Belgium:Ukkel:,Europe:Belgium:Ukkel:-,
Europe:Belgium:Brussels:,Europe:Belgium:Brussels:-,
Europe:Russia:Sverdlovsk Region:,Europe:Russia:Sverdlovsk Region:-,
Europe:Russia:Tatarstan:,Europe:Russia:Tatarstan:-,
Europe:Russia:Tver Region:,Europe:Russia:Tver Region:-,
Europe:Russia:Buryat Republic:Ulan-Ude,Europe:Russia:Buryat Republic:Ulan-Ude,
Europe:Belgium:Blegny:Saive,Europe:Belgium:Blegny:Saive,
Asia:Saudi Arabia:Riyadh:,Asia:Saudi Arabia:Riyadh:-,
Asia:Saudi Arabia:Jeddah:,Asia:Saudi Arabia:Jeddah:-,
Europe:Belgium:Belgium:,Europe:Belgium:-:-,
Asia:Saudi Arabia:Madinah:,Asia:Saudi Arabia:Madinah:-,
Europe:Belgium:Herent:Winksele,Europe:Belgium:Herent:Winksele,
Europe:Belgium:Leuven:,Europe:Belgium:Leuven:-,
Europe:Belgium:Sint-Niklaas:,Europe:Belgium:Sint-Niklaas:-,
Europe:Belgium:Saint-Ghislain:,Europe:Belgium:Saint-Ghislain:-,
Asia:Saudi Arabia:Makkah:,Asia:Saudi Arabia:Makkah:-,
Europe:Belgium:Wervik:Geluwe,Europe:Belgium:Wervik:Geluwe,
Europe:Belgium:Tubize:,Europe:Belgium:Tubize:-,
Europe:Belgium:Colfontaine:,Europe:Belgium:Colfontaine:-,
Europe:Belgium:Beersel:,Europe:Belgium:Beersel:-,
Europe:Belgium:Kaulile:,Europe:Belgium:Kaulile:-,
Europe:Belgium:Lubbeek:,Europe:Belgium:Lubbeek:-,
Asia:Saudi Arabia:Saudi Arabia:,Asia:Saudi Arabia:Saudi Arabia:-,
Europe:United Kingdom:Scotland:,Europe:United Kingdom:Scotland:-,
Europe:Belgium:Waterloo:,Europe:Belgium:Waterloo:-,
Europe:Belgium:Beringen:Koersel,Europe:Belgium:Beringen:Koersel,
Europe:Belgium:Herselt:,Europe:Belgium:Herselt:-,
Europe:Belgium:Kraainem:,Europe:Belgium:Kraainem:-,
Europe:Belgium:Andenne:,Europe:Belgium:Andenne:-,
Europe:Belgium:Waasmunster:,Europe:Belgium:Waasmunster:-,
Europe:Belgium:Tournai:Kain,Europe:Belgium:Tournai:Kain,
Europe:Belgium:Boussu:,Europe:Belgium:Boussu:-,
Europe:Belgium:Mons:,Europe:Belgium:Mons:-,
Europe:Belgium:LiÃ¨ge:Bierset,Europe:Belgium:Liege:Bierset,
Europe:Belgium:Zinnik:,Europe:Belgium:Zinnik:-,
Europe:Belgium:Eupen:,Europe:Belgium:Eupen:-,
Africa:Algeria:Blida:,Africa:Algeria:Blida:-,
Europe:Belgium:Mouscron:Quevaucamps,Europe:Belgium:Mouscron:Quevaucamps,
Europe:Belgium:Gierle:,Europe:Belgium:Gierle:-,
Europe:Belgium:Courcelles:,Europe:Belgium:Courcelles:-,
Europe:Belgium:Quevy:,Europe:Belgium:Quevy:-,
Europe:Belgium:Oostrozebeke:,Europe:Belgium:Oostrozebeke:-,
Europe:Belgium:Couthuin:,Europe:Belgium:Couthuin:-,
Europe:Belgium:Kessel-Lo:,Europe:Belgium:Kessel-Lo:-,
Europe:Belgium:Elsene:,Europe:Belgium:Elsene:-,
Europe:Belgium:Charleroi:Forchies-la-marche,Europe:Belgium:Charleroi:Forchies-la-marche,
Europe:Belgium:Sint-Gillis-Waas:,Europe:Belgium:Sint-Gillis-Waas:-,
Europe:Belgium:Charleroi:Montignies-Sur-Sambre,Europe:Belgium:Charleroi:Montignies-Sur-Sambre,
Europe:Belgium:Estinnes:Haulchin,Europe:Belgium:Estinnes:Haulchin,
Europe:Belgium:Dilbeek:,Europe:Belgium:Dilbeek:-,
Europe:Belgium:Dendermonde:,Europe:Belgium:Dendermonde:-,
Europe:Belgium:Mouscron:,Europe:Belgium:Mouscron:-,
Europe:Belgium:Ravels:Poppel,Europe:Belgium:Ravels:Poppel,
Europe:Belgium:Linter:,Europe:Belgium:Linter:-,
Europe:Belgium:Grimbergen:,Europe:Belgium:Grimbergen:-,
Europe:Belgium:Fontaine-l Eveque:,Europe:Belgium:Fontaine-l Eveque:-,
Europe:Belgium:Mons:Jemappes,Europe:Belgium:Mons:Jemappes,
Europe:Belgium:Wanze:,Europe:Belgium:Wanze:-,
Europe:Belgium:Walloon Brabant:Braine-le-Chateau,Europe:Belgium:Walloon Brabant:Braine-le-Chateau,
Europe:Belgium:Geraardsbergen:,Europe:Belgium:Geraardsbergen:-,
Europe:Belgium:Asse:,Europe:Belgium:Asse:-,
Europe:Belgium:Charleroi:Couillet,Europe:Belgium:Charleroi:Couillet,
Europe:Belgium:Genappe:,Europe:Belgium:Genappe:-,
Europe:Belgium:Namur:Temploux,Europe:Belgium:Namur:Temploux,
Europe:Belgium:LiÃ¨ge:Wandre,Europe:Belgium:Liege:Wandre,
Europe:Belgium:Mons:Saisinne,Europe:Belgium:Mons:Saisinne,
Europe:Belgium:Mons:Havre,Europe:Belgium:Mons:Havre,
Europe:Belgium:Lasne:,Europe:Belgium:Lasne:-,
Europe:Belgium:Rixensart:,Europe:Belgium:Rixensart:-,
Europe:Belgium:Riemst:,Europe:Belgium:Riemst:-,
Europe:Belgium:Saint-Ghislain:Villerot,Europe:Belgium:Saint-Ghislain:Villerot,
Europe:Belgium:Flanders:Leuven,Europe:Belgium:Flanders:Leuven,
Europe:Belgium:Montigny-le-Tilleul:,Europe:Belgium:Montigny-le-Tilleul:-,
Europe:Belgium:Zolder:,Europe:Belgium:Zolder:-,
Europe:Belgium:Houthalen-Helchteren:,Europe:Belgium:Houthalen-Helchteren:-,
Europe:Belgium:Charleroi:Jumet,Europe:Belgium:Charleroi:Jumet,
Europe:Belgium:Holsbeek:,Europe:Belgium:Holsbeek:-,
Europe:Belgium:Berloz:,Europe:Belgium:Berloz:-,
Europe:Belgium:Chaineux:,Europe:Belgium:Chaineux:-,
Europe:Belgium:Oevel:,Europe:Belgium:Oevel:-,
Europe:Belgium:Braine-l alleud:,Europe:Belgium:Braine-l’Alleud:-,
Europe:Belgium:Zonhoven:,Europe:Belgium:Zonhoven:-,
Europe:Belgium:Anderlecht:,Europe:Belgium:Anderlecht:-,
Europe:Belgium:Antwerp:,Europe:Belgium:Antwerp:-,
Europe:Belgium:Tielt-Winge:,Europe:Belgium:Tielt-Winge:-,
Europe:Belgium:Knokke-Heist:,Europe:Belgium:Knokke-Heist:-,
Europe:Belgium:Etterbeek:,Europe:Belgium:Etterbeek:-,
Europe:Belgium:Kasterlee:,Europe:Belgium:Kasterlee:-,
Europe:Belgium:Oudergem:,Europe:Belgium:Oudergem:-,
Europe:Belgium:Sint-Agatha-Berchem:,Europe:Belgium:Sint-Agatha-Berchem:-,
Europe:Belgium:Stekene:,Europe:Belgium:Stekene:-,
Europe:Belgium:Sint-Truiden:,Europe:Belgium:Sint-Truiden:-,
Europe:Belgium:Theux:,Europe:Belgium:Theux:-,
Europe:Belgium:Vorst:,Europe:Belgium:Vorst:-,
Europe:Belgium:Ellezelles:,Europe:Belgium:Ellezelles:-,
Europe:Belgium:Bree:,Europe:Belgium:Bree:-,
Europe:Belgium:Zoutleeuw:,Europe:Belgium:Zoutleeuw:-,
Europe:Belgium:Couvin:,Europe:Belgium:Couvin:-,
Europe:Belgium:Watermaal-Bosvoorde:,Europe:Belgium:Watermaal-Bosvoorde:-,
Europe:Belgium:Pelt:Neerpelt,Europe:Belgium:Pelt:Neerpelt,
Europe:Belgium:Lanaken:,Europe:Belgium:Lanaken:-,
Europe:Belgium:Henri-chapelle:,Europe:Belgium:Henri-chapelle:-,
Europe:Belgium:Quaregnon:,Europe:Belgium:Quaregnon:-,
Europe:Belgium:Frameries:,Europe:Belgium:Frameries:-,
Europe:Belgium:Vilvoorde:,Europe:Belgium:Vilvoorde:-,
Europe:Belgium:Nieuwerkerken:,Europe:Belgium:Nieuwerkerken:-,
Europe:Belgium:Silly:Bassilly,Europe:Belgium:Silly:Bassilly,
Europe:Belgium:Leuven:Ladeuze,Europe:Belgium:Leuven:Ladeuze,
Europe:Belgium:Ganshoren:,Europe:Belgium:Ganshoren:-,
Europe:Belgium:Sint-Pieters-Woluwe:,Europe:Belgium:Sint-Pieters-Woluwe:-,
Europe:Belgium:LiÃ¨ge:,Europe:Belgium:Liege:-,
Europe:Belgium:Soumagne:,Europe:Belgium:Soumagne:-,
Europe:Belgium:Herve:,Europe:Belgium:Herve:-,
Europe:Belgium:Soignies:,Europe:Belgium:Soignies:-,
Europe:Belgium:Ath:,Europe:Belgium:Ath:-,
Europe:Belgium:Mons:Cuesmes,Europe:Belgium:Mons:Cuesmes,
Europe:Belgium:Hasselt:,Europe:Belgium:Hasselt:-,
Europe:Belgium:Sint-Genesius-Rode:,Europe:Belgium:Sint-Genesius-Rode:-,
Europe:Belgium:Tienen:,Europe:Belgium:Tienen:-,
Europe:Belgium:Saint-Ghislain:Tertre,Europe:Belgium:Saint-Ghislain:Tertre,
Europe:Belgium:Leuven:Heverlee,Europe:Belgium:Leuven:Heverlee,
Europe:Belgium:Havelange:,Europe:Belgium:Havelange:-,
Europe:Belgium:Ronse:,Europe:Belgium:Ronse:-,
Europe:Belgium:Hoegaarden:,Europe:Belgium:Hoegaarden:-,
Europe:Belgium:Seraing:,Europe:Belgium:Seraing:-,
Europe:Belgium:Courcelles:Trazegnies,Europe:Belgium:Courcelles:Trazegnies,
Europe:Belgium:LiÃ¨ge:Yernee-fraineux,Europe:Belgium:Liege:Yernee-fraineux,
Europe:Belgium:Charleroi:,Europe:Belgium:Charleroi:-,
Europe:Belgium:Namur:,Europe:Belgium:Namur:-,
Europe:Belgium:Beringen:,Europe:Belgium:Beringen:-,
Europe:Belgium:Huldenberg:,Europe:Belgium:Huldenberg:-,
Europe:Belgium:Limburg:,Europe:Belgium:Limburg:-,
Europe:Belgium:La Louviere:,Europe:Belgium:La Louviere:-,
Europe:Belgium:Ath:Arbre,Europe:Belgium:Ath:Arbre,
Europe:Belgium:Ghent:,Europe:Belgium:Ghent:-,
Africa:Senegal:Dakar:,Africa:Senegal:Dakar:-,
Africa:Senegal:Touba:,Africa:Senegal:Touba:-,
Africa:Senegal:Mbour:,Africa:Senegal:Mbour:-,
Africa:Senegal:St-Louis:,Africa:Senegal:St-Louis:-,
Africa:Senegal:Thies:,Africa:Senegal:Thies:-,
Europe:Serbia:Kraljevo:,Europe:Serbia:Kraljevo:-,
Europe:Serbia:Novi Pazar:,Europe:Serbia:Novi Pazar:-,
Asia:China:Shandong:Qingdao,Asia:China:Shandong:Qingdao,
Asia:China:Shandong:,Asia:China:Shandong:-,
Asia:China:Shanghai:,Asia:China:Shanghai:-,
Asia:China:Jiangxi:Shangrao,Asia:China:Jiangxi:Shangrao,
Asia:China:Sichuan:Chengdu,Asia:China:Sichuan:Chengdu,
Asia:China:Sichuan:,Asia:China:Sichuan:-,
Asia:Singapore:Singapore:,Asia:Singapore:Singapore:-,
Asia:Singapore:Singapore:Singapore,Asia:Singapore:-:-,
Europe:Slovakia:Kostoliste:,Europe:Slovakia:Kostoliste:-,
Europe:Slovakia:Bratislava:,Europe:Slovakia:Bratislava:-,
Europe:Slovakia:Kosice:,Europe:Slovakia:Kosice:-,
Europe:Slovakia:Martin:,Europe:Slovakia:Martin:-,
Europe:Slovenia:Slovenia:,Europe:Slovenia:Slovenia:-,
Africa:South Africa:KwaZulu-Natal:,Africa:South Africa:KwaZulu-Natal:-,
Africa:South Africa:Gauteng:,Africa:South Africa:Gauteng:-,
Africa:South Africa:Mpumalanga:,Africa:South Africa:Mpumalanga:-,
Africa:South Africa:Eastern Cape:,Africa:South Africa:Eastern Cape:-,
Africa:South Africa:Limpopo:,Africa:South Africa:Limpopo:-,
Africa:South Africa:South Africa:,Africa:South Africa:-:-,
Asia:South Korea:Gyeonggi:Gyeonggi,Asia:South Korea:Gyeonggi:-,
Asia:South Korea:Seoul:Seoul,Asia:South Korea:Seoul:-,
Asia:South Korea:Chungcheongnam:Chungcheongnam,Asia:South Korea:Chungcheongnam:-,
Europe:Spain:Comunitat Valenciana:Elda,Europe:Spain:Comunitat Valenciana:Elda,
Europe:Spain:Andalusia:,Europe:Spain:Andalusia:-,
Europe:Spain:Catalunya:,Europe:Spain:Catalunya:-,
Europe:Spain:Basque Country:Vitoria-Gasteiz,Europe:Spain:Basque Country:Vitoria-Gasteiz,
Europe:Spain:Basque Country:Donostia-San Sebastian,Europe:Spain:Basque Country:Donostia-San Sebastian,
Europe:Spain:Andalusia:Sevilla,Europe:Spain:Andalusia:Sevilla,
Europe:Spain:Navarra:Pamplona,Europe:Spain:Navarra:Pamplona,
Europe:Spain:Navarra:Baranain,Europe:Spain:Navarra:Baranain,
Europe:Spain:Madrid:Alcobendas,Europe:Spain:Madrid:Alcobendas,
Europe:Spain:Madrid:Madrid,Europe:Spain:Madrid:Madrid,
